Designator,Mid X,Mid Y,Rotation,Layer
A1,90.5,-53.025,0.0,top
D1,48.522103,-61.789912,90.0,top
D2,58.180306,-61.837374,90.0,top
D3,68.272931,-61.846933,90.0,top
D4,48.524686,-54.792613,90.0,top
D5,58.165465,-54.815301,90.0,top
D6,68.28,-54.81,90.0,top
R1,41.78,-32.08,270.0,top
R2,68.022103,-67.01494,0.0,top
R3,58.288112,-67.018255,0.0,top
R4,68.282007,-49.527412,0.0,top
R5,58.494376,-49.527412,0.0,top
R6,48.735308,-49.528807,180.0,top
R7,48.522103,-67.019912,180.0,top
SW1,48.515341,-84.319912,90.0,top
SW10,48.664486,-32.196234,90.0,top
SW11,58.272103,-32.23183,90.0,top
SW12,68.249685,-32.207008,90.0,top
SW2,58.292822,-84.341501,90.0,top
SW3,68.259671,-84.270309,90.0,top
SW4,48.515341,-73.769912,90.0,top
SW5,58.292822,-73.791501,90.0,top
SW6,68.259671,-73.720309,90.0,top
SW7,48.664486,-42.746234,90.0,top
SW8,58.272103,-42.78183,90.0,top
SW9,68.249685,-42.757008,90.0,top
